Population TheBest TheWorst AVG
1 5284 6678 5864
2 5050 6420 5681
3 5050 6202 5535
4 4921 6020 5458
5 4712 5942 5412
6 4611 5819 5299
7 4611 5972 5232
8 4538 5931 5078
9 4538 5957 5086
10 4289 5656 4976
11 4289 5996 4905
12 4289 5733 4944
13 4437 5788 4848
14 4297 5392 4800
15 4216 5368 4765
16 4191 5519 4873
17 4249 5748 4795
18 4284 5559 4783
19 4107 5462 4736
20 4041 5454 4673
21 4131 5406 4617
22 4114 5490 4574
23 4104 5297 4573
24 4083 5566 4539
25 4095 5435 4544
26 4061 4986 4472
27 4050 5145 4525
28 4037 5144 4550
29 4074 5092 4513
30 4074 5504 4576
31 4014 5641 4572
32 3965 5355 4497
33 3919 6011 4483
34 3893 5349 4353
35 3854 5187 4432
36 3846 5235 4375
37 3846 5017 4355
38 3876 5175 4346
39 3876 5206 4397
40 3802 5247 4432
41 3861 4978 4401
42 3861 4971 4363
43 3906 5475 4301
44 3874 4897 4210
45 3787 5059 4214
46 3767 4766 4222
47 3700 4847 4146
48 3600 5009 4138
49 3583 4952 4151
50 3600 4583 4043
51 3600 4909 4141
52 3600 4664 4113
53 3464 4918 4151
54 3464 4854 4195
55 3616 5464 4295
56 3616 5039 4109
57 3616 5040 4147
58 3525 5066 4118
59 3616 5539 4303
60 3616 5657 4292
61 3616 5357 4282
62 3616 5067 4254
63 3754 4830 4190
64 3754 5023 4285
65 3754 5506 4315
66 3754 4984 4263
67 3771 5137 4225
68 3771 4859 4188
69 3771 5266 4299
70 3710 5377 4343
71 3707 5719 4474
72 3710 5637 4447
73 3689 5677 4606
74 3689 5681 4553
75 3689 5908 4547
76 3689 5662 4408
77 3771 5928 4483
78 3771 5635 4339
79 3771 5925 4581
80 3771 6038 4606
81 3771 5916 4529
82 3771 6073 4808
83 3771 5760 4495
84 3771 5963 4473
85 3771 5954 4576
86 3771 6105 4742
87 3771 6184 4857
88 4036 5796 4530
89 3729 5511 4440
90 3729 5306 4410
91 3666 5263 4340
92 3679 5076 4178
93 3683 4587 4108
94 3640 5096 4140
95 3626 4925 4077
96 3627 4867 4086
97 3627 5323 4123
98 3672 5439 4127
99 3613 5722 4148
100 3613 4927 4105

